ff_id,name_en,name_es,equipment,confidence,score,edb_exerciseId,edb_name,gifUrl,alt1_name,alt1_score
ff_chest_barbell_bench_press,Barbell Bench Press,Press banca con barra,Barbell,high,1.0,EIeI8Vf,barbell bench press,https://static.exercisedb.dev/media/EIeI8Vf.gif,barbell guillotine bench press,1.0
ff_chest_incline_barbell_bench_press,Incline Barbell Bench Press,Press banca inclinado con barra,Barbell,high,1.0,3TZduzM,barbell incline bench press,https://static.exercisedb.dev/media/3TZduzM.gif,barbell reverse grip incline bench press,0.956
ff_chest_decline_barbell_bench_press,Decline Barbell Bench Press,Press banca declinado con barra,Barbell,high,1.0,GrO65fd,barbell decline bench press,https://static.exercisedb.dev/media/GrO65fd.gif,barbell reverse grip decline bench press,0.956
ff_chest_dumbbell_bench_press,Dumbbell Bench Press,Press banca con mancuernas,Dumbbell,high,1.0,SpYC0Kp,dumbbell bench press,https://static.exercisedb.dev/media/SpYC0Kp.gif,dumbbell reverse bench press,0.956
ff_chest_incline_dumbbell_bench_press,Incline Dumbbell Bench Press,Press banca inclinado con mancuernas,Dumbbell,high,1.0,ns0SIbU,dumbbell incline bench press,https://static.exercisedb.dev/media/ns0SIbU.gif,dumbbell incline fly,0.9389
ff_chest_decline_dumbbell_bench_press,Decline Dumbbell Bench Press,Press banca declinado con mancuernas,Dumbbell,high,1.0,DwhEmmE,dumbbell decline bench press,https://static.exercisedb.dev/media/DwhEmmE.gif,dumbbell decline fly,0.9389
ff_chest_dumbbell_fly,Dumbbell Fly,Aperturas con mancuernas,Dumbbell,high,1.0,yz9nUhF,dumbbell fly,https://static.exercisedb.dev/media/yz9nUhF.gif,dumbbell fly on exercise ball,1.0
ff_chest_dumbbell_pullover,Dumbbell Pullover,Pullover con mancuerna,Dumbbell,high,1.0,vi8EhoE,dumbbell around pullover,https://static.exercisedb.dev/media/vi8EhoE.gif,dumbbell lying pullover on exercise ball,1.0
ff_chest_chest_press_machine,Chest Press Machine,Press de pecho en máquina,Machine,high,1.0,wDN97Ca,machine inner chest press,https://static.exercisedb.dev/media/wDN97Ca.gif,lever chest press,0.8381
ff_chest_cable_fly,Cable Fly,Aperturas en polea,Cable,high,1.0,FVmZVhk,cable low fly,https://static.exercisedb.dev/media/FVmZVhk.gif,cable lying fly,1.0
ff_chest_push_up,Push Up,Flexión de pecho,Bodyweight,high,1.0,7E06s6d,chest tap push-up (male),https://static.exercisedb.dev/media/7E06s6d.gif,clap push up,1.0
ff_chest_incline_push_up,Incline Push Up,Flexión inclinada,Bodyweight,high,1.0,CB8WET1,incline push up depth jump,https://static.exercisedb.dev/media/CB8WET1.gif,incline push-up,1.0
ff_chest_decline_push_up,Decline Push Up,Flexión declinada,Bodyweight,high,1.0,i5cEhka,decline push-up,https://static.exercisedb.dev/media/i5cEhka.gif,push-up,0.934
ff_chest_archer_push_up,Archer Push Up,Flexión arquero,Bodyweight,high,1.0,A9qxk2F,archer push up,https://static.exercisedb.dev/media/A9qxk2F.gif,push-up,0.8625
ff_chest_ring_push_up,Ring Push Up,Flexión en anillas,Bodyweight,high,1.0,I4hDWkc,push-up,https://static.exercisedb.dev/media/I4hDWkc.gif,kneeling push-up (male),0.9542
ff_back_pull_up,Pull Up,Dominada prona,Bodyweight,high,1.0,mExgrF9,bench pull-ups,https://static.exercisedb.dev/media/mExgrF9.gif,l-pull-up,1.0
ff_back_chin_up,Chin Up,Dominada supina,Bodyweight,high,1.0,T2mxWqc,chin-up,https://static.exercisedb.dev/media/T2mxWqc.gif,chin-ups (narrow parallel grip),1.0
ff_back_neutral_grip_pull_up,Neutral Grip Pull Up,Dominada agarre neutro,Bodyweight,high,1.0,0V2YQjW,pull up (neutral grip),https://static.exercisedb.dev/media/0V2YQjW.gif,pull-up,0.956
ff_back_inverted_row,Inverted Row,Remo invertido,Bodyweight,high,1.0,bZGHsAZ,inverted row,https://static.exercisedb.dev/media/bZGHsAZ.gif,inverted row bent knees,1.0
ff_back_scapular_pull_up,Scapular Pull Up,Dominada escapular,Bodyweight,high,1.0,uTBt1HV,scapular pull-up,https://static.exercisedb.dev/media/uTBt1HV.gif,pull-up,0.9571
ff_back_seated_cable_row,Seated Cable Row,Remo sentado en polea,Cable,high,1.0,hvV79Si,cable low seated row,https://static.exercisedb.dev/media/hvV79Si.gif,cable rope crossover seated row,1.0
ff_back_straight_arm_cable_pulldown,Straight Arm Cable Pulldown,Jalón con brazos rectos en polea,Cable,high,1.0,RVwzP10,cable pulldown,https://static.exercisedb.dev/media/RVwzP10.gif,cable straight arm pulldown,1.0
ff_back_cable_pullover,Cable Pullover,Pullover en polea,Cable,high,1.0,Q2Eu1Ax,cable lying extension pullover (with rope attachment),https://static.exercisedb.dev/media/Q2Eu1Ax.gif,cable pulldown,0.934
ff_back_barbell_row,Barbell Row,Remo con barra,Barbell,high,1.0,eZyBC3j,barbell bent over row,https://static.exercisedb.dev/media/eZyBC3j.gif,barbell pendlay row,1.0
ff_shoulders_seated_barbell_overhead_press,Seated Barbell Overhead Press,Press militar sentado con barra,Barbell,high,1.0,kTbSH9h,barbell seated overhead press,https://static.exercisedb.dev/media/kTbSH9h.gif,barbell seated behind head military press,0.899
ff_shoulders_dumbbell_lateral_raise,Dumbbell Lateral Raise,Elevación lateral con mancuernas,Dumbbell,high,1.0,AQ0mC4Y,dumbbell full can lateral raise,https://static.exercisedb.dev/media/AQ0mC4Y.gif,dumbbell lateral raise,1.0
ff_shoulders_dumbbell_front_raise,Dumbbell Front Raise,Elevación frontal con mancuernas,Dumbbell,high,1.0,3eGE2JC,dumbbell front raise,https://static.exercisedb.dev/media/3eGE2JC.gif,dumbbell front raise v. 2,1.0
ff_shoulders_rear_delt_dumbbell_fly,Rear Delt Dumbbell Fly,Apertura posterior con mancuernas,Dumbbell,high,1.0,8DiFDVA,dumbbell rear fly,https://static.exercisedb.dev/media/8DiFDVA.gif,dumbbell lying on floor rear delt raise,0.945
ff_shoulders_cable_lateral_raise,Cable Lateral Raise,Elevación lateral en polea,Cable,high,1.0,goJ6ezq,cable lateral raise,https://static.exercisedb.dev/media/goJ6ezq.gif,cable one arm lateral raise,0.956
ff_shoulders_cable_front_raise,Cable Front Raise,Elevación frontal en polea,Cable,high,1.0,u2X71Np,cable front raise,https://static.exercisedb.dev/media/u2X71Np.gif,cable front shoulder raise,1.0
ff_legs_jump_squat,Jump Squat,Sentadilla con salto,Bodyweight,high,1.0,LIlE5Tn,jump squat,https://static.exercisedb.dev/media/LIlE5Tn.gif,jump squat v. 2,1.0
ff_calves_seated_calf_raise_machine,Seated Calf Raise Machine,Elevación de pantorrilla sentado en máquina,Machine,high,1.0,IeDEXTe,lever seated squat calf raise on leg press machine,https://static.exercisedb.dev/media/IeDEXTe.gif,lever seated calf raise,0.8735
ff_calves_dumbbell_standing_calf_raise,Dumbbell Standing Calf Raise,Elevación de pantorrilla con mancuernas,Dumbbell,high,1.0,dPmaUaU,dumbbell standing calf raise,https://static.exercisedb.dev/media/dPmaUaU.gif,barbell standing calf raise,0.8492
ff_calves_single_leg_dumbbell_calf_raise,Single Leg Dumbbell Calf Raise,Elevación unilateral de pantorrilla con mancuerna,Dumbbell,high,1.0,1kB3Wmk,dumbbell single leg calf raise,https://static.exercisedb.dev/media/1kB3Wmk.gif,single leg calf raise (on a dumbbell),1.0
ff_calves_barbell_standing_calf_raise,Barbell Standing Calf Raise,Elevación de pantorrilla con barra,Barbell,high,1.0,8ozhUIZ,barbell standing calf raise,https://static.exercisedb.dev/media/8ozhUIZ.gif,barbell standing leg calf raise,1.0
ff_calves_standing_calf_raise,Standing Calf Raise,Elevación de pantorrilla de pie,Bodyweight,high,1.0,6HmFgmx,standing calf raise (on a staircase),https://static.exercisedb.dev/media/6HmFgmx.gif,bodyweight standing calf raise,0.956
ff_glutes_barbell_glute_bridge,Barbell Glute Bridge,Puente de glúteo con barra,Barbell,high,1.0,qKBpF7I,barbell glute bridge,https://static.exercisedb.dev/media/qKBpF7I.gif,barbell glute bridge two legs on bench (male),1.0
ff_glutes_cable_pull_through,Cable Pull Through,Pull through en polea,Cable,high,1.0,OM46QHm,cable pull through (with rope),https://static.exercisedb.dev/media/OM46QHm.gif,cable pulldown,0.8005
ff_glutes_glute_bridge,Glute Bridge,Puente de glúteo,Bodyweight,high,1.0,GibBPPg,glute bridge march,https://static.exercisedb.dev/media/GibBPPg.gif,glute bridge two legs on bench (male),1.0
ff_biceps_barbell_curl,Barbell Curl,Curl de bíceps con barra,Barbell,high,1.0,Yza7XrQ,barbell alternate biceps curl,https://static.exercisedb.dev/media/Yza7XrQ.gif,barbell biceps curl (with arm blaster),1.0
ff_biceps_ez_bar_curl,EZ Bar Curl,Curl de bíceps con barra EZ,Barbell,high,1.0,tJ5nYqo,ez-bar biceps curl (with arm blaster),https://static.exercisedb.dev/media/tJ5nYqo.gif,ez-bar close-grip bench press,0.8919
ff_biceps_dumbbell_curl,Dumbbell Curl,Curl de bíceps con mancuernas,Dumbbell,high,1.0,BU15nH4,dumbbell alternate biceps curl,https://static.exercisedb.dev/media/BU15nH4.gif,dumbbell alternate biceps curl (with arm blaster),1.0
ff_biceps_alternating_dumbbell_curl,Alternating Dumbbell Curl,Curl alterno con mancuernas,Dumbbell,high,1.0,Zwiw7XR,dumbbell alternating bicep curl with leg raised on exercise ball,https://static.exercisedb.dev/media/Zwiw7XR.gif,dumbbell alternating seated bicep curl on exercise ball,0.934
ff_biceps_incline_dumbbell_curl,Incline Dumbbell Curl,Curl inclinado con mancuernas,Dumbbell,high,1.0,F3xgbjF,dumbbell incline biceps curl,https://static.exercisedb.dev/media/F3xgbjF.gif,dumbbell incline curl,1.0
ff_biceps_cable_curl,Cable Curl,Curl de bíceps en polea,Cable,high,1.0,NvfE43H,cable concentration curl,https://static.exercisedb.dev/media/NvfE43H.gif,cable curl,1.0
ff_biceps_bayesian_cable_curl,Bayesian Cable Curl,Curl bayesiano en polea,Cable,high,1.0,G08RZcQ,cable curl,https://static.exercisedb.dev/media/G08RZcQ.gif,cable drag curl,0.89
ff_biceps_high_cable_curl,High Cable Curl,Curl alto en polea,Cable,high,1.0,G08RZcQ,cable curl,https://static.exercisedb.dev/media/G08RZcQ.gif,cable concentration curl,0.89
ff_biceps_reverse_cable_curl,Reverse Cable Curl,Curl inverso en polea,Cable,high,1.0,eOG0r6v,cable reverse curl,https://static.exercisedb.dev/media/eOG0r6v.gif,cable reverse preacher curl,1.0
ff_biceps_bodyweight_biceps_curl,Bodyweight Biceps Curl,Curl de bíceps con peso corporal,Bodyweight,high,1.0,gscGLOU,bodyweight side lying biceps curl,https://static.exercisedb.dev/media/gscGLOU.gif,bodyweight kneeling triceps extension,0.8172
ff_triceps_close_grip_bench_press,Close Grip Bench Press,Press banca agarre cerrado,Barbell,high,1.0,da4cXST,ez-bar close-grip bench press,https://static.exercisedb.dev/media/da4cXST.gif,barbell close-grip bench press,0.956
ff_triceps_dumbbell_kickback,Dumbbell Kickback,Patada de tríceps con mancuernas,Dumbbell,high,1.0,W6PxUkg,dumbbell kickback,https://static.exercisedb.dev/media/W6PxUkg.gif,dumbbell kickbacks on exercise ball,1.0
ff_triceps_overhead_cable_extension,Overhead Cable Extension,Extensión sobre cabeza en polea,Cable,high,1.0,1xHyxys,cable high pulley overhead tricep extension,https://static.exercisedb.dev/media/1xHyxys.gif,cable overhead triceps extension (rope attachment),1.0
ff_triceps_cable_triceps_kickback,Cable Triceps Kickback,Patada de tríceps en polea,Cable,high,1.0,HEJ6DIX,cable kickback,https://static.exercisedb.dev/media/HEJ6DIX.gif,cable two arm tricep kickback,0.9132
ff_triceps_bench_dip,Bench Dip,Fondos en banco,Bodyweight,high,1.0,RrLske5,bench dip (knees bent),https://static.exercisedb.dev/media/RrLske5.gif,bench dip on floor,1.0
ff_triceps_ring_dip,Ring Dip,Fondos en anillas,Bodyweight,high,1.0,ezTvXcr,ring dips,https://static.exercisedb.dev/media/ezTvXcr.gif,three bench dip,0.8167
ff_triceps_bodyweight_triceps_extension,Bodyweight Triceps Extension,Extensión de tríceps con peso corporal,Bodyweight,high,1.0,s0HKO2I,bodyweight kneeling triceps extension,https://static.exercisedb.dev/media/s0HKO2I.gif,triceps dip,0.8338
ff_shoulders_dumbbell_shoulder_press,Dumbbell Shoulder Press,Press de hombro con mancuernas,Dumbbell,high,0.9633,vmwLyCg,dumbbell w-press,https://static.exercisedb.dev/media/vmwLyCg.gif,dumbbell one arm shoulder press,0.956
ff_chest_smith_machine_bench_press,Smith Machine Bench Press,Press banca en máquina Smith,Smith Machine,high,0.956,trqKQv2,smith bench press,https://static.exercisedb.dev/media/trqKQv2.gif,smith machine reverse decline close grip bench press,0.846
ff_chest_smith_machine_incline_bench_press,Smith Machine Incline Bench Press,Press inclinado en máquina Smith,Smith Machine,high,0.956,5v7KYld,smith incline bench press,https://static.exercisedb.dev/media/5v7KYld.gif,smith bench press,0.89
ff_chest_high_to_low_cable_fly,High To Low Cable Fly,Cruce alto a bajo en polea,Cable,high,0.956,FVmZVhk,cable low fly,https://static.exercisedb.dev/media/FVmZVhk.gif,cable lying fly,0.8185
ff_chest_low_to_high_cable_fly,Low To High Cable Fly,Cruce bajo a alto en polea,Cable,high,0.956,FVmZVhk,cable low fly,https://static.exercisedb.dev/media/FVmZVhk.gif,cable lying fly,0.8185
ff_back_assisted_pull_up_machine,Assisted Pull Up Machine,Dominada asistida en máquina,Machine,high,0.956,kiJ4Z2K,assisted pull-up,https://static.exercisedb.dev/media/kiJ4Z2K.gif,lever assisted chin-up,0.8364
ff_back_lat_pulldown_machine,Lat Pulldown Machine,Jalón al pecho en máquina,Machine,high,0.956,ecpY0rH,reverse grip machine lat pulldown,https://static.exercisedb.dev/media/ecpY0rH.gif,assisted pull-up,0.7268
ff_back_pendlay_row,Pendlay Row,Remo Pendlay,Barbell,high,0.956,r0z6xzQ,barbell pendlay row,https://static.exercisedb.dev/media/r0z6xzQ.gif,cambered bar lying row,0.78
ff_shoulders_arnold_press,Arnold Press,Press Arnold,Dumbbell,high,0.956,Xy4jlWA,dumbbell arnold press,https://static.exercisedb.dev/media/Xy4jlWA.gif,dumbbell arnold press v. 2,0.956
ff_shoulders_single_arm_dumbbell_lateral_raise,Single Arm Dumbbell Lateral Raise,Elevación lateral unilateral con mancuerna,Dumbbell,high,0.956,DsgkuIt,dumbbell lateral raise,https://static.exercisedb.dev/media/DsgkuIt.gif,dumbbell raise,0.89
ff_shoulders_smith_machine_shoulder_press,Smith Machine Shoulder Press,Press de hombro en máquina Smith,Smith Machine,high,0.956,903mzG8,smith shoulder press,https://static.exercisedb.dev/media/903mzG8.gif,smith seated shoulder press,0.8081
ff_shoulders_upright_row,Upright Row,Remo al mentón con barra,Barbell,high,0.956,UDlhcO8,barbell upright row,https://static.exercisedb.dev/media/UDlhcO8.gif,barbell upright row v. 2,0.956
ff_legs_back_squat,Back Squat,Sentadilla trasera con barra,Barbell,high,0.956,DhMl549,barbell full squat (back pov),https://static.exercisedb.dev/media/DhMl549.gif,barbell hack squat,0.8831
ff_legs_front_squat,Front Squat,Sentadilla frontal con barra,Barbell,high,0.956,Y7YcmIJ,barbell bench front squat,https://static.exercisedb.dev/media/Y7YcmIJ.gif,barbell clean-grip front squat,0.956
ff_legs_goblet_squat,Goblet Squat,Sentadilla goblet,Dumbbell,high,0.956,yn8yg1r,dumbbell goblet squat,https://static.exercisedb.dev/media/yn8yg1r.gif,kettlebell goblet squat,0.9167
ff_legs_step_up,Step Up,Subida al cajón,Dumbbell,high,0.956,aXtJhlg,dumbbell step-up,https://static.exercisedb.dev/media/aXtJhlg.gif,dumbbell step-up lunge,0.956
ff_legs_romanian_deadlift,Romanian Deadlift,Peso muerto rumano,Barbell,high,0.956,wQ2c4XD,barbell romanian deadlift,https://static.exercisedb.dev/media/wQ2c4XD.gif,dumbbell romanian deadlift,0.9143
ff_legs_smith_machine_squat,Smith Machine Squat,Sentadilla en máquina Smith,Smith Machine,high,0.956,jFtipLl,smith squat,https://static.exercisedb.dev/media/jFtipLl.gif,smith chair squat,0.8643
ff_glutes_romanian_deadlift,Romanian Deadlift,Peso muerto rumano,Barbell,high,0.956,wQ2c4XD,barbell romanian deadlift,https://static.exercisedb.dev/media/wQ2c4XD.gif,dumbbell romanian deadlift,0.9143
ff_glutes_sumo_deadlift,Sumo Deadlift,Peso muerto sumo,Barbell,high,0.956,KgI0tqW,barbell sumo deadlift,https://static.exercisedb.dev/media/KgI0tqW.gif,barbell deadlift,0.856
ff_biceps_concentration_curl,Concentration Curl,Curl de concentración,Dumbbell,high,0.956,gvsWLQw,dumbbell concentration curl,https://static.exercisedb.dev/media/gvsWLQw.gif,dumbbell one arm concentration curl (on stability ball),0.912
ff_biceps_single_arm_cable_curl,Single Arm Cable Curl,Curl unilateral en polea,Cable,high,0.956,G08RZcQ,cable curl,https://static.exercisedb.dev/media/G08RZcQ.gif,cable drag curl,0.846
ff_triceps_skull_crusher,Skull Crusher,Rompecráneos con barra,Barbell,high,0.956,h8LFzo9,barbell lying triceps extension skull crusher,https://static.exercisedb.dev/media/h8LFzo9.gif,barbell reverse grip skullcrusher,0.89
ff_triceps_jm_press,JM Press,JM press,Barbell,high,0.956,ZsiqXYa,barbell jm bench press,https://static.exercisedb.dev/media/ZsiqXYa.gif,ez barbell jm bench press,0.956
ff_triceps_rope_pushdown,Rope Pushdown,Jalón de tríceps con cuerda,Cable,high,0.956,dU605di,cable pushdown (with rope attachment),https://static.exercisedb.dev/media/dU605di.gif,cable pushdown,0.8843
ff_triceps_v_bar_pushdown,V Bar Pushdown,Jalón de tríceps con barra V,Cable,high,0.956,gAwDzB3,cable triceps pushdown (v-bar),https://static.exercisedb.dev/media/gAwDzB3.gif,cable triceps pushdown (v-bar) (with arm blaster),0.956
